id,name,calories,proteins,carbs,fats,vitamins,minerals,allergens,unit
Merguez,290,25,0,21,"B12","Fer,Zinc","",g
Chipolata,290,25,0,21,"B12","Fer,Zinc","",g
Boudin noir,290,25,0,21,"B12","Fer,Zinc","",g
Andouille,290,25,0,21,"B12","Fer,Zinc","",g
Andouillette,290,25,0,21,"B12","Fer,Zinc","",g
Tripes,290,25,0,21,"B12","Fer,Zinc","",g
Tête de veau,290,25,0,21,"B12","Fer,Zinc","",g
Cervelas,290,25,0,21,"B12","Fer,Zinc","",g
Knacki,290,25,0,21,"B12","Fer,Zinc","",g
Hot-dog,290,25,0,21,"B12","Fer,Zinc","",g
Hamburger,290,25,0,21,"B12","Fer,Zinc","",g
Steak haché,250,26,0,17,"B12","Fer,Zinc","",g
Escalope de poulet,165,31,0,3.6,"A,B6,B12","Fer,Zinc,Sélénium","",g
Escalope de dinde,157,30,0,3.6,"A,B6,B12","Fer,Zinc,Sélénium","",g
Escalope de veau,172,31,0,5.7,"B12","Fer,Zinc","",g
Côte de bœuf,250,26,0,17,"B12","Fer,Zinc","",g
Côte de porc,242,27,0,14,"B12","Fer,Zinc","",g
Côtelette d'agneau,294,25,0,21,"B12","Fer,Zinc","",g
Entrecôte,250,26,0,17,"B12","Fer,Zinc","",g
Filet mignon,242,27,0,14,"B12","Fer,Zinc","",g
Rôti de bœuf,250,26,0,17,"B12","Fer,Zinc","",g
Rôti de porc,242,27,0,14,"B12","Fer,Zinc","",g
Rôti de veau,172,31,0,5.7,"B12","Fer,Zinc","",g
Gigot d'agneau,294,25,0,21,"B12","Fer,Zinc","",g
Carré d'agneau,294,25,0,21,"B12","Fer,Zinc","",g
Côte de bœuf,250,26,0,17,"B12","Fer,Zinc","",g
Côte de porc,242,27,0,14,"B12","Fer,Zinc","",g
Côtelette d'agneau,294,25,0,21,"B12","Fer,Zinc","",g
Entrecôte,250,26,0,17,"B12","Fer,Zinc","",g
Filet mignon,242,27,0,14,"B12","Fer,Zinc","",g
Rôti de bœuf,250,26,0,17,"B12","Fer,Zinc","",g
Rôti de porc,242,27,0,14,"B12","Fer,Zinc","",g
Rôti de veau,172,31,0,5.7,"B12","Fer,Zinc","",g
Gigot d'agneau,294,25,0,21,"B12","Fer,Zinc","",g
Carré d'agneau,294,25,0,21,"B12","Fer,Zinc","",g 
